Open time,Open,High,Low,Close
2025-01-30 01:11:35+00:00,103994.43,104003.78,103994.43,104003.78
2025-01-30 01:11:40+00:00,104003.78,104003.96,104003.78,104003.95
2025-01-30 01:11:45+00:00,104003.95,104021.98,104003.95,104021.98
2025-01-30 01:11:50+00:00,104021.99,104037.73,104021.99,104037.73
2025-01-30 01:11:55+00:00,104037.72,104037.72,104023.86,104031.2
2025-01-30 01:12:00+00:00,104031.2,104032.91,104031.2,104032.91
2025-01-30 01:12:05+00:00,104032.91,104040.0,104032.9,104039.99
2025-01-30 01:12:10+00:00,104039.99,104048.23,104039.99,104048.22
2025-01-30 01:12:15+00:00,104048.23,104048.23,104048.22,104048.22
2025-01-30 01:12:20+00:00,104048.23,104048.23,104034.0,104034.01
2025-01-30 01:12:25+00:00,104034.01,104034.01,104034.0,104034.01
2025-01-30 01:12:30+00:00,104034.01,104041.66,104034.0,104041.66
2025-01-30 01:12:35+00:00,104041.66,104094.86,104041.66,104094.86
2025-01-30 01:12:40+00:00,104094.86,104094.86,104094.85,104094.85
2025-01-30 01:12:45+00:00,104094.85,104094.85,104069.6,104069.6
2025-01-30 01:12:50+00:00,104069.6,104069.61,104069.6,104069.6
2025-01-30 01:12:55+00:00,104069.6,104069.61,104065.01,104065.01
2025-01-30 01:13:00+00:00,104065.01,104065.01,104060.01,104060.01
2025-01-30 01:13:05+00:00,104060.0,104060.0,104052.0,104052.01
2025-01-30 01:13:10+00:00,104052.01,104052.01,104052.0,104052.0
2025-01-30 01:13:15+00:00,104052.01,104052.01,104040.96,104040.97
2025-01-30 01:13:20+00:00,104040.97,104052.01,104040.96,104052.0
2025-01-30 01:13:25+00:00,104052.01,104076.06,104052.0,104076.06
2025-01-30 01:13:30+00:00,104076.89,104090.0,104076.89,104090.0
2025-01-30 01:13:35+00:00,104089.99,104097.52,104076.0,104076.01
2025-01-30 01:13:40+00:00,104076.0,104089.98,104076.0,104089.97
2025-01-30 01:13:45+00:00,104089.97,104089.98,104089.97,104089.98
2025-01-30 01:13:50+00:00,104089.98,104099.18,104089.98,104099.18
2025-01-30 01:13:55+00:00,104099.17,104108.0,104099.17,104107.65
2025-01-30 01:14:00+00:00,104107.66,104107.66,104107.65,104107.66
2025-01-30 01:14:05+00:00,104107.65,104107.66,104107.65,104107.66
2025-01-30 01:14:10+00:00,104107.65,104107.66,104107.65,104107.66
2025-01-30 01:14:15+00:00,104107.65,104107.66,104107.65,104107.66
2025-01-30 01:14:20+00:00,104107.66,104123.36,104107.66,104123.36
2025-01-30 01:14:25+00:00,104123.36,104147.05,104123.35,104147.04
2025-01-30 01:14:30+00:00,104147.05,104147.05,104147.04,104147.05
2025-01-30 01:14:35+00:00,104147.04,104147.05,104147.04,104147.04
2025-01-30 01:14:40+00:00,104147.05,104147.05,104147.04,104147.04
2025-01-30 01:14:45+00:00,104147.05,104155.0,104147.05,104155.0
2025-01-30 01:14:50+00:00,104155.0,104158.82,104154.99,104158.81
2025-01-30 01:14:55+00:00,104158.82,104162.15,104158.81,104162.15
2025-01-30 01:15:00+00:00,104162.14,104163.33,104162.14,104163.32
2025-01-30 01:15:05+00:00,104163.33,104169.66,104163.32,104169.66
2025-01-30 01:15:10+00:00,104169.66,104185.73,104169.65,104185.73
2025-01-30 01:15:15+00:00,104185.73,104185.73,104173.54,104173.55
2025-01-30 01:15:20+00:00,104173.55,104173.55,104173.54,104173.55
2025-01-30 01:15:25+00:00,104173.54,104173.55,104173.51,104173.52
2025-01-30 01:15:30+00:00,104173.52,104181.99,104173.51,104181.98
2025-01-30 01:15:35+00:00,104181.99,104181.99,104181.98,104181.98
2025-01-30 01:15:40+00:00,104181.98,104181.99,104181.98,104181.98
2025-01-30 01:15:45+00:00,104181.99,104181.99,104181.98,104181.99
2025-01-30 01:15:50+00:00,104181.98,104181.99,104181.98,104181.98
2025-01-30 01:15:55+00:00,104181.99,104181.99,104181.98,104181.98
2025-01-30 01:16:00+00:00,104181.99,104181.99,104164.15,104164.16
2025-01-30 01:16:05+00:00,104164.16,104170.47,104164.15,104170.47
2025-01-30 01:16:10+00:00,104170.47,104173.75,104164.15,104164.15
2025-01-30 01:16:15+00:00,104164.16,104164.16,104164.15,104164.15
2025-01-30 01:16:20+00:00,104164.15,104164.16,104164.15,104164.16
2025-01-30 01:16:25+00:00,104164.16,104171.99,104164.15,104171.99
2025-01-30 01:16:30+00:00,104171.98,104171.99,104171.98,104171.98
2025-01-30 01:16:35+00:00,104171.99,104171.99,104166.41,104171.98
2025-01-30 01:16:40+00:00,104171.99,104175.19,104171.98,104175.18
2025-01-30 01:16:45+00:00,104175.18,104180.0,104175.18,104179.99
2025-01-30 01:16:50+00:00,104179.99,104180.0,104179.99,104179.99
2025-01-30 01:16:55+00:00,104179.99,104180.0,104179.99,104179.99
2025-01-30 01:17:00+00:00,104180.0,104240.0,104179.99,104221.64
2025-01-30 01:17:05+00:00,104221.64,104221.64,104218.4,104218.4
2025-01-30 01:17:10+00:00,104218.41,104218.41,104197.56,104205.75
2025-01-30 01:17:15+00:00,104205.76,104213.28,104205.76,104213.27
2025-01-30 01:17:20+00:00,104213.28,104213.28,104202.08,104202.08
2025-01-30 01:17:25+00:00,104202.08,104206.84,104202.08,104206.83
2025-01-30 01:17:30+00:00,104206.83,104206.84,104204.84,104204.85
2025-01-30 01:17:35+00:00,104204.84,104204.84,104202.08,104202.09
2025-01-30 01:17:40+00:00,104202.08,104202.09,104191.82,104191.82
2025-01-30 01:17:45+00:00,104191.81,104191.81,104187.28,104187.43
2025-01-30 01:17:50+00:00,104187.43,104187.44,104187.43,104187.43
2025-01-30 01:17:55+00:00,104187.44,104187.44,104187.43,104187.44
2025-01-30 01:18:00+00:00,104187.44,104191.2,104187.43,104191.19
2025-01-30 01:18:05+00:00,104191.2,104191.2,104191.19,104191.2
2025-01-30 01:18:10+00:00,104191.2,104191.2,104169.62,104172.53
2025-01-30 01:18:15+00:00,104172.54,104172.54,104172.53,104172.54
2025-01-30 01:18:20+00:00,104172.53,104182.16,104158.82,104182.15
2025-01-30 01:18:25+00:00,104182.15,104202.52,104182.15,104202.52
2025-01-30 01:18:30+00:00,104202.51,104204.3,104202.51,104204.3
2025-01-30 01:18:35+00:00,104204.46,104208.97,104204.46,104208.97
